source	subject_category	subject_prefix	predicate	object_category	object_prefix	count
bacdive	biolink:PhenotypicQuality	assay	biolink:assesses	biolink:OrganismTaxon	NCBITaxon	404550
bacdive	biolink:OrganismTaxon	NCBITaxon	biolink:consumes	biolink:ChemicalEntity	CHEBI	260019
bacdive	biolink:OrganismTaxon	strain	biolink:subclass_of	biolink:OrganismTaxon	NCBITaxon	159751
bacdive	biolink:OrganismTaxon	strain	biolink:consumes	biolink:ChemicalEntity	CHEBI	132698
bacdive	biolink:OrganismTaxon	NCBITaxon	biolink:capable_of	biolink:PhenotypicQuality	EC	129045
bacdive	biolink:PhenotypicQuality	assay	biolink:assesses	biolink:OrganismTaxon	strain	117849
bacdive	biolink:EnvironmentalFeature	isolation_source	biolink:location_of	biolink:OrganismTaxon	NCBITaxon	100296
bacdive	biolink:OrganismTaxon	NCBITaxon	biolink:has_phenotype	biolink:PhenotypicQuality	METPO	92898
bactotraits	biolink:OrganismTaxon	NCBITaxon	biolink:has_phenotype	biolink:PhenotypicQuality	METPO	87688
bacdive	biolink:EnvironmentalFeature	isolation_source	biolink:location_of	biolink:OrganismTaxon	strain	68079
bacdive	biolink:OrganismTaxon	strain	biolink:capable_of	biolink:PhenotypicQuality	EC	56969
madin_etal	biolink:OrganismTaxon	NCBITaxon	biolink:has_phenotype	(empty)	METPO	44081
madin_etal	biolink:OrganismTaxon	NCBITaxon	biolink:consumes	biolink:ChemicalEntity	CHEBI	36816
bacdive	biolink:OrganismTaxon	NCBITaxon	biolink:occurs_in	biolink:ChemicalEntity	medium	36521
bacdive	biolink:OrganismTaxon	strain	biolink:has_phenotype	biolink:PhenotypicQuality	METPO	26160
bacdive	biolink:OrganismTaxon	strain	biolink:occurs_in	biolink:ChemicalEntity	medium	16474
madin_etal	(unknown)	ENVO	biolink:location_of	biolink:OrganismTaxon	NCBITaxon	14888
bacdive	biolink:OrganismTaxon	strain	biolink:subclass_of	(unknown)	NCBITaxon	13010
bacdive	biolink:OrganismTaxon	NCBITaxon	biolink:associated_with_sensitivity_to	biolink:ChemicalEntity	CHEBI	12511
bacdive	biolink:OrganismTaxon	NCBITaxon	biolink:associated_with_resistance_to	biolink:ChemicalEntity	CHEBI	10296
bacdive	biolink:OrganismTaxon	NCBITaxon	biolink:produces	biolink:ChemicalEntity	CHEBI	8620
madin_etal	(empty)	isolation_source	biolink:location_of	biolink:OrganismTaxon	NCBITaxon	6775
madin_etal	biolink:OrganismTaxon	NCBITaxon	biolink:capable_of	biolink:BiologicalProcess	pathways	4463
madin_etal	biolink:EnvironmentalFeature	UBERON	biolink:location_of	biolink:OrganismTaxon	NCBITaxon	2802
bacdive	biolink:OrganismTaxon	NCBITaxon	biolink:has_phenotype	biolink:PhenotypicQuality	pathogen	2676
bacdive	biolink:OrganismTaxon	strain	biolink:produces	biolink:ChemicalEntity	CHEBI	2651
madin_etal	biolink:OrganismTaxon	NCBITaxon	biolink:capable_of	(empty)	METPO	1770
madin_etal	biolink:OrganismTaxon	NCBITaxon	biolink:capable_of	biolink:BiologicalProcess	GO	1262
bacdive	(unknown)	NCBITaxon	biolink:has_phenotype	biolink:PhenotypicQuality	METPO	1208
madin_etal	biolink:EnvironmentalFeature	CHEBI	biolink:location_of	biolink:OrganismTaxon	NCBITaxon	910
bacdive	biolink:OrganismTaxon	NCBITaxon	biolink:produces	biolink:ChemicalSubstance	CHEBI	792
bacdive	biolink:EnvironmentalFeature	isolation_source	biolink:location_of	(unknown)	NCBITaxon	755
bacdive	biolink:OrganismTaxon	strain	biolink:has_phenotype	biolink:PhenotypicQuality	pathogen	735
bacdive	(unknown)	NCBITaxon	biolink:consumes	biolink:ChemicalEntity	CHEBI	730
madin_etal	biolink:EnvironmentalFeature	NCBITaxon	biolink:location_of	biolink:OrganismTaxon	NCBITaxon	624
madin_etal	(unknown)	PATO	biolink:location_of	biolink:OrganismTaxon	NCBITaxon	569
bacdive	biolink:OrganismTaxon	strain	biolink:produces	biolink:ChemicalSubstance	CHEBI	446
bacdive	biolink:ChemicalEntity	CHEBI	biolink:occurs_in	biolink:PhenotypicQuality	assay	258
madin_etal	biolink:ChemicalEntity	CHEBI	biolink:has_chemical_role	biolink:ChemicalRole	CHEBI	236
bacdive	biolink:OrganismTaxon	NCBITaxon	biolink:capable_of	biolink:PhenotypicQuality	pathways	157
madin_etal	(unknown)	CHEBI	biolink:has_chemical_role	biolink:ChemicalRole	CHEBI	121
bacdive	biolink:PhenotypicQuality	EC	biolink:is_assessed_by	biolink:PhenotypicQuality	assay	98
bacdive	biolink:OrganismTaxon	NCBITaxon	biolink:has_phenotype	biolink:PhenotypicQuality	salinity	95
bacdive	biolink:OrganismTaxon	strain	biolink:has_phenotype	biolink:PhenotypicQuality	salinity	95
madin_etal	(unknown)	PO	biolink:location_of	biolink:OrganismTaxon	NCBITaxon	77
bacdive	biolink:ChemicalEntity	CAS-RN	biolink:occurs_in	biolink:PhenotypicQuality	assay	68
bacdive	biolink:PhenotypicQuality	EC	biolink:consumes	biolink:ChemicalEntity	CAS-RN	28
bacdive	biolink:OrganismTaxon	strain	biolink:capable_of	biolink:PhenotypicQuality	pathways	26
bacdive	biolink:PhenotypicQuality	assay	biolink:assesses	(unknown)	NCBITaxon	17
